"loc_name","loc_id","t_reg","org_id","t_emp_active","t_uid_verify","t_uid_reject",
"1/V  NCERT CAMPUS","000225","24","000166","0","11","12",
"2/V  OLD JNU CAMPUS","000226","11","000166","0","11","0",
"3/V  AGV COMPLEX","000228","10","000166","0","10","0",
"3N Sub - Division, Kota House","000289","1","000166","0","1","0",
"3N Sub-division Kota House Shahjhan road","000320","1","000166","0","1","0",
"4/V  Kalkaji","000230","8","000166","0","8","0",
"4/V  KRISHI VIHAR","000229","10","000166","0","10","0",
"Air Force Station, Race Course","000170","29","000166","0","29","0",
"Aliganj","000214","10","000166","0","9","0",
"Andrews Ganj","000190","77","000166","0","54","16",
"ARC Complex, Mayur Vihar, Phase-1","000280","3","000166","0","3","0",
"ASSISTANT ENGINEER  (CIVIL)","000232","1","000166","0","1","0",
"Baba Kharag Singh Marg","000032","223","000166","0","193","27",
"Bapu Dham","000176","18","000166","0","18","0",
"Bhikaji Bhawan, Bhikaji Cama Place","000078","25","000166","0","25","0",
"Budha Jayanti Park","000255","1","000166","0","1","0",
"CGO Complex 5A","000171","20","000166","0","19","1",
"CGO Complex A- Block ","000005","8","000166","0","3","0",
"CGO Complex Block 11 ","000034","65","000166","0","62","3",
"CGO Complex Block 14","000068","1","000166","0","1","0",
"CGO Complex Block 2","000083","1","000166","0","1","0",
"CPWD service center at Pandara Road","000241","6","000166","0","6","0",
"CPWD service center at Shahjahan Road","000240","6","000166","0","6","0",
"CPWD Service Centre Sector 12","000205","46","000166","1","44","2",
"CPWD Service Centre Sector 2","000198","3","000166","0","3","0",
"CPWD Service Centre Sector 4","000200","70","000166","0","66","3",
"CPWD Service Centre Sector 5","000201","26","000166","0","26","0",
"CPWD Service Centre Sector 7","000202","20","000166","0","20","0",
"CPWD Service Centre Sector 8","000203","1","000166","0","1","0",
"CPWD Service Centre Sector1","000197","11","000166","0","11","0",
"CPWD, OLD PHTC BUILDING,","000177","15","000166","0","15","0",
"CRPF Campus Jarada Kalan","000220","34","000166","0","34","0",
"Dalhousie Road","000038","3","000166","0","3","0",
"DEV NAGAR, KAROL BAGH","000184","30","000166","0","29","0",
"DGCA R K Puram","000065","3","000166","0","3","0",
"DMS COLONY, HARI NAGAR","000183","14","000166","0","14","0",
"Dr.Shyama Prasad Mukherjee Swimming Pool, Talkatora","000188","4","000166","0","4","0",
"East Block 1 R K Puram","000165","142","000166","2","132","2",
"East Block 2 Level 2 R K Puram","000211","1","000166","0","1","0",
"East Block 2 R K Puram","000210","25","000166","0","25","0",
"East Block 3 R K Puram","000166","121","000166","0","115","0",
"East Block 7, R K Puram","000087","1","000166","0","1","0",
"Electronics Niketan","000007","2","000166","0","2","0",
"Enquiry office,Andrews Ganj","000191","13","000166","0","13","0",
"ESD-I/ED-III, CPWD, Minto Road","000169","28","000166","0","28","0",
"G Block, Defence","000088","25","000166","0","25","0",
"GOI PRESS COLONY, MAYAPURI","000181","21","000166","0","21","0",
"Govt. Sunder Nursary, Nizamuddin","000254","2","000166","0","2","0",
"GPOA Building at CBD Shahdara","000284","1","000166","0","1","0",
"Hudco Vishala","000039","1","000166","0","1","0",
"Hutments, Akbar Road","000067","2","000166","0","2","0",
"I P BHAWAN","000149","820","000166","16","744","35",
"I.B. Colony","000175","1","000166","0","1","0",
"IARI, Pusa","000179","36","000166","0","23","13",
"IIT Delhi, Hauz Khas","000245","20","000166","0","20","0",
"INA","000040","26","000166","0","26","0",
"Income Tax Colony, Pitampura","000314","16","000166","0","0","0",
"Indira Gandhi Indore stadium, I.P. Estate","000187","10","000166","0","9","0",
"INQUIRY OFFICE,SECTOR-13, R K PURAM","000242","4","000166","0","3","1",
"IP Estate","000150","27","000166","0","27","0",
"Jaisalmer House","000043","7","000166","0","7","0",
"Jam Nagar House","000044","17","000166","0","17","0",
"Janpath","000160","1","000166","0","1","0",
"Janpath Bhawan","000008","29","000166","11","29","0",
"Karni Singh Shooting Range, Tuglakabad","000189","5","000166","0","5","0",
"Krishi Bhawan","000010","76","000166","0","70","3",
"Laxmi Bai Nagar","000215","44","000166","0","42","1",
"Lodhi Colony","000208","43","000166","0","39","1",
"Lodhi Estate","000186","1","000166","0","1","0",
"LODHI ROAD COMPLEX","000207","33","000166","0","32","0",
"LODHI ROAD, MAUSAM BHAWAN","000209","38","000166","0","38","0",
"Lok Nayak Bhawan","000011","23","000166","0","22","0",
"M.E.A. ","000056","3","000166","0","3","0",
"Mahadev Road","000140","62","000166","1","53","8",
"MDC National Stadium","000178","36","000166","0","34","1",
"MEA - Jawaharlal Nehru bhawan","000099","9","000166","0","8","0",
"MEA- Patiala House","000100","37","000166","0","20","0",
"MIG FLAT MAYAPURI","000182","8","000166","0","8","0",
"Moti Bagh","000196","27","000166","0","19","8",
"MOTI BAGH-1","000194","39","000166","0","38","0",
"MSIB Complex, 35 S.P. Marg","000174","20","000166","0","20","0",
"Nanakpura","000276","19","000166","14","17","1",
"National Archives of India (NAI) at Janpath","000075","20","000166","0","18","0",
"NETAJI NAGAR","000223","64","000166","0","62","0",
"Nirman Bhawan","000013","878","000166","484","826","6",
"NIRVACAHN SADAN","000246","9","000166","0","9","0",
"North Block","000014","57","000166","0","39","4",
"NORTH WEST MOTI BAGH","000195","26","000166","0","26","0",
"NTRO Complex, Mayur Vihar, Phase-1","000282","1","000166","0","1","0",
"Old JNU Campus","000222","1","000166","0","1","0",
"Old Secretariat","000126","68","000166","0","67","0",
"Pandit Pant Marg","000193","71","000166","0","66","2",
"Parliament House","000016","78","000166","0","78","0",
"Parliament House Annnexe","000155","72","000166","0","72","0",
"Parliament House Complex","000154","72","000166","0","71","0",
"PARLIAMENT LIBRARY BUILDING","000156","49","000166","0","48","1",
"Pragati Maidan, Old Appu Ghar","000286","14","000166","0","5","1",
"Pragati Maidann","000212","93","000166","0","93","0",
"President Estate","000158","61","000166","0","28","33",
"Pushpa Bhavan","000073","201","000166","0","192","8",
"R K Puram EAST BLOCK - 1","000151","57","000166","19","56","1",
"R K PURAM EAST BLOCK - III","000152","22","000166","0","22","0",
"R K PURAM EAST BLOCK-IV","000153","151","000166","11","124","25",
"Rabindra Nagar","000239","14","000166","0","13","0",
"Raksha Sampada Bhawan, Ulanbaatar Road, Delhi Cantt","000086","10","000166","0","10","0",
"Rashtrapati Bhawan","000054","206","000166","0","136","42",
"RHTC Compund Najafgarh","000218","1","000166","0","1","0",
"SADIQ NAGAR","000257","8","000166","0","1","0",
"SAFDARJUNG HOSPITAL","000159","88","000166","0","75","11",
"Safdurjang Hospital","000168","70","000166","0","70","0",
"Sardar Patel Bhawan","000021","25","000166","0","25","0",
"Sarojini Nagar","000206","30","000166","0","29","0",
"Satarkta Bhawan","000141","4","000166","0","4","0",
"Sena Bhawan","000049","77","000166","0","38","39",
"Sewa Bhawan","000022","214","000166","77","207","1",
"Shastri Bhawan","000004","55","000166","0","55","0",
"Shivaji Stadium Annexe,CP,Shaheed Bhagat Singh Marg","000127","103","000166","0","99","1",
"Shram Shakti Bhawan","000023","28","000166","1","28","0",
"South Block","000024","51","000166","0","39","0",
"SPG Complex Sector 8 Dwarka","000221","7","000166","0","7","0",
"Technology Bhawan","000025","5","000166","0","5","0",
"Transport Bhawan","000002","23","000166","0","23","0",
"Udyog Bhawan","000026","52","000166","0","51","0",
"UPSC service enquiry (civil)  UPSC lane","000288","13","000166","0","13","0",
"V DIVISION, CPWD, SAROJINI NAGAR","000224","14","000166","0","14","0",
"Vasant Vihar","000275","14","000166","13","13","0",
"Vidyut Bhawan","000147","307","000166","25","304","1",
"Vigyan Bhawan","000001","23","000166","0","23","0",
"Vigyan Bhawan Annexe","000028","75","000166","1","71","1",
"Vinay Marg, Chanakyapuri","000180","3","000166","0","3","0",
"West Block 1 R K Puram","000129","3","000166","0","3","0",
"West Block 7 R K Puram","000131","1","000166","1","1","0",
"West Block 8 R K Puram","000071","2","000166","0","0","2",
"West Block III","000297","32","000166","3","27","0",
"West Kidwai Nagar","000213","37","000166","0","35","2",
