"loc_name","loc_id","t_reg","org_id","t_emp_active","t_uid_verify","t_uid_reject",
"Air Force Station, Race Course","000170","1","000176","0","1","0",
"Development Enclave, Rao Tula Ram Marg","000173","89","000176","86","89","0",
"Janpath","000160","1","000176","0","1","0",
"Jeevan Bharti Building","000030","4","000176","4","4","0",
"Jeevan Prakash Building","000060","1","000176","1","1","0",
"Jeevan Tara Building","000066","2","000176","2","2","0",
"Krishi Bhawan","000010","7","000176","5","7","0",
"Lodhi Colony","000208","1","000176","0","1","0",
"LODHI ROAD COMPLEX","000207","1","000176","0","1","0",
"Sanchar Bhawan","000020","1","000176","0","1","0",
"Sardar Patel Bhawan","000021","1","000176","1","1","0",
"Sena Bhawan","000049","2","000176","1","2","0",
"Sewa Bhawan","000022","2","000176","0","2","0",
"Shastri Bhawan","000004","2","000176","1","2","0",
"Shram Shakti Bhawan","000023","2","000176","0","2","0",
"Soochna Bhawan ","000061","16","000176","8","16","0",
"Transport Bhawan","000002","5","000176","2","5","0",
"Udyog Bhawan","000026","1","000176","0","1","0",
"Yojana Bhawan","000029","3","000176","3","3","0",
