"loc_name","loc_id","t_reg","org_id","t_emp_active","t_uid_verify","t_uid_reject",
"CGO Complex 5A","000171","7","000072","1","6","0",
"CGO Complex A- Block ","000005","2","000072","0","2","0",
"CGO Complex Block 14","000068","33","000072","33","33","0",
"CGO Complex Block 3","000035","2","000072","0","2","0",
"LODHI ROAD COMPLEX","000207","1","000072","0","1","0",
"Lok Nayak Bhawan","000011","116","000072","110","111","1",
"North Block","000014","434","000072","401","406","3",
"Old JNU Campus","000222","6","000072","5","5","0",
"Sanchar Bhawan","000020","1","000072","0","1","0",
"Training Division - Old JNU Campus Block-IV New Delhi-67","000082","41","000072","38","38","0",
