"loc_name","loc_id","t_reg","org_id","t_emp_active","t_uid_verify","t_uid_reject",
"B Block Defence","000243","2","000140","2","2","0",
"Dak Bhawan","000074","2","000140","2","2","0",
"East Block 6 R K Puram","000069","1","000140","1","1","0",
"East Block 7, R K Puram","000087","53","000140","52","52","0",
"Hindi Teaching Scheme. Prithviraj Road","000092","30","000140","30","30","0",
"I P BHAWAN","000149","1","000140","0","1","0",
"Lok Nayak Bhawan","000011","1","000140","1","1","0",
"NDCC - II Bhawan","000052","3","000140","3","3","0",
"Paryavaran Bhawan","000017","34","000140","33","33","0",
"Rail Bhawan","000018","1","000140","1","1","0",
"Udyog Bhawan","000026","1","000140","1","1","0",
"UPSC lane 3N Sub Division, Kota House","000287","2","000140","2","2","0",
"Yojana Bhawan","000029","1","000140","1","1","0",
