"loc_name","loc_id","t_reg","org_id","t_emp_active","t_uid_verify","t_uid_reject",
" Shastri Bhavan","000273","1","000109","0","0","0",
"Akbar Bhawan","000006","1","000109","1","1","0",
"August Kranti Bhawan","000031","2","000109","2","2","0",
"Bhikaji Bhawan, Bhikaji Cama Place","000078","1","000109","1","1","0",
"CGO Complex A- Block ","000005","1104","000109","698","1036","0",
"CGO Complex Block 11 ","000034","7","000109","3","7","0",
"CGO Complex Block 14","000068","10","000109","5","9","0",
"CGO Complex Block 2","000083","4","000109","3","4","0",
"Chandralok Building","000036","1","000109","1","1","0",
"Dak Bhawan","000074","7","000109","7","7","0",
"Dalhousie Road","000038","3","000109","1","1","0",
"DGCA HQ Safdarjung Airport","000062","5","000109","2","5","0",
"DGCA Region IGI Airport","000064","2","000109","2","2","0",
"DMRC Building, Shastri Park","000080","224","000109","79","217","1",
"Electronics Niketan","000007","4","000109","3","4","0",
"Hudco Vishala","000039","1","000109","1","1","0",
"I P BHAWAN","000149","1","000109","1","1","0",
"INA","000040","1","000109","1","1","0",
"Indira Paryavaran Bhawan","000051","14","000109","2","14","0",
"IP Estate","000150","2","000109","2","2","0",
"Jaisalmer House","000043","1","000109","1","1","0",
"Janpath Bhawan","000008","1","000109","1","1","0",
"Janpath Hotel","000143","1","000109","1","1","0",
"Jeevan Bharti Building","000030","2","000109","2","2","0",
"Jeevan Deep Building","000009","1","000109","1","1","0",
"Jeevan Prakash Building","000060","2","000109","2","2","0",
"Jeevan Tara Building","000066","5","000109","5","5","0",
"Krishi Bhawan","000010","28","000109","25","26","0",
"Laxmi Nagar Data Centre, Core-2  Scope Minar, Laxmi Nagar","000081","4","000109","2","3","0",
"Lok Nayak Bhawan","000011","27","000109","18","26","0",
"M.E.A. ","000056","1","000109","1","1","0",
"MEA - Foreign Service Institute","000102","11","000109","10","11","0",
"MEA - Jawaharlal Nehru bhawan","000099","12","000109","8","11","0",
"MEA- Shashtri Bhawan","000101","2","000109","0","2","0",
"National Data Center Shastri Park","000098","84","000109","19","75","1",
"National Media Centre","000084","2","000109","0","2","0",
"NDCC - II Bhawan","000052","17","000109","10","16","0",
"NDMA Bhawan","000097","1","000109","1","1","0",
"NICSI , Core 3, Scope Minar, Laxmi Nagar","000079","2","000109","0","1","0",
"Nirman Bhawan","000013","22","000109","17","19","0",
"North Block","000014","31","000109","22","30","0",
"Parliament House","000016","14","000109","4","11","0",
"Parliament House Annnexe","000155","4","000109","1","4","0",
"PARLIAMENT LIBRARY BUILDING","000156","3","000109","3","3","0",
"Paryavaran Bhawan","000017","16","000109","13","15","0",
"Prithvi Bhawan","000144","5","000109","1","5","0",
"R K Puram EAST BLOCK - 1","000151","1","000109","1","1","0",
"Rajiv Gandhi Bhawan","000019","1","000109","1","1","0",
"Rashtrapati Bhawan","000054","3","000109","3","3","0",
"Samrat Hotel","000048","4","000109","4","4","0",
"Sanchar Bhawan","000020","3","000109","3","3","0",
"Sardar Patel Bhawan","000021","16","000109","12","15","0",
"Satarkta Bhawan","000141","1","000109","1","1","0",
"Sena Bhawan","000049","4","000109","2","4","0",
"Sewa Bhawan","000022","3","000109","2","2","0",
"Shastri Bhawan","000004","54","000109","53","54","0",
"Shivaji Stadium Annexe,CP,Shaheed Bhagat Singh Marg","000127","5","000109","5","5","0",
"Shram Shakti Bhawan","000023","10","000109","10","10","0",
"Shram Shakti Bhawan Rafi Marg","000305","2","000109","1","1","0",
"Soochna Bhawan ","000061","3","000109","3","3","0",
"South Block","000024","4","000109","4","4","0",
"Technology Bhawan","000025","3","000109","2","3","0",
"Training Division - Old JNU Campus Block-IV New Delhi-67","000082","1","000109","1","1","0",
"Transport Bhawan","000002","6","000109","6","6","0",
"Udyog Bhawan","000026","25","000109","23","24","0",
"University Grants Commission","000292","1","000109","1","1","0",
"Utpadakta Bhawan","000096","1","000109","1","1","0",
"Vice Presidents Secretariat","000095","1","000109","1","1","0",
"West Block 7 R K Puram","000131","1","000109","1","1","0",
"West Block 8 R K Puram","000071","1","000109","1","1","0",
"YMCA Cultural center Bldg, Jaisigh Road","000125","1","000109","1","1","0",
"Yojana Bhawan","000029","20","000109","18","19","0",
