"loc_name","loc_id","t_reg","org_id","t_emp_active","t_uid_verify","t_uid_reject",
"A Block, Defence","000145","19","000132","18","19","0",
"Air Force Station, Race Course","000170","3","000132","0","3","0",
"B Block Defence","000243","19","000132","17","19","0",
"Dalhousie Road","000038","4","000132","4","4","0",
"DRDO Bhawan","000133","238","000132","0","234","0",
"E-Block, Defence","000089","459","000132","449","449","2",
"G Block, Defence","000088","18","000132","2","17","0",
"H-Block Defence","000094","23","000132","0","23","0",
"Krishi Bhawan","000010","2","000132","1","2","0",
"L and M Block","000059","10","000132","10","10","0",
"Sena Bhawan","000049","16","000132","0","16","0",
"South Block","000024","18","000132","3","18","0",
